字段所属分组	字段名称	字段类型	字段来源	字段说明
基础信息	线索编号	文本	系统生成	线索唯一标识
基础信息	线索来源	单选	用户填写	线索获取渠道
基础信息	公司名称	文本	用户填写	线索所属公司
基础信息	联系人	文本	用户填写	联系人姓名
基础信息	手机号	文本	用户填写	联系人手机号
基础信息	邮箱	文本	用户填写	联系人邮箱
基础信息	职位	文本	用户填写	联系人职位
基础信息	所属行业	单选	用户填写	所在行业
基础信息	所在地区	级联选择	用户填写	所在省市
基础信息	线索备注	多行文本	用户填写	备注信息
基础信息	AI评分	整数	系统计算	AI评分模型输出
基础信息	线索状态	单选	系统生成	当前状态
分配与跟进	归属人	文本	系统生成	当前负责人
分配与跟进	分配时间	日期时间	系统生成	最近一次分配时间
分配与跟进	最近跟进时间	日期时间	系统生成	最近一次添加跟进记录的时间
分配与跟进	放弃原因	多行文本	用户填写	放弃时填写的理由
系统字段	创建人	文本	系统生成	线索录入人
系统字段	创建时间	日期时间	系统生成	录入时间
系统字段	最后修改人	文本	系统生成	最近修改人
系统字段	最后修改时间	日期时间	系统生成	最近修改时间
系统字段	转化时间	日期时间	系统生成	线索转化为客户的时间
系统字段	poolType	单选	系统生成	PENDING_ASSIGN 状态下的业务分组
系统字段	voidType	单选	系统生成	ABANDONED 记录的动作来源
