字段所属分组	字段名称	字段类型	字段来源	字段说明	必填性	新增页	编辑页	列表展示	可筛选	详情展示	取值说明	备注
基础信息	线索编号	文本	系统生成	线索唯一标识	不适用	不展示	只读	是(160px)	是(Input)	是	LEAD{YYYYMMDD}-{4位序号}	系统自动生成业务唯一标识
基础信息	线索来源	单选	用户填写	线索获取渠道	必填	Select	Select	是(120px)	是(Select)	是	Select: ONLINE=官网, ACTIVITY=线下活动, EXHIBITION=展会, REFERRAL=转介绍, IMPORT=批量导入, OTHER=其他	AI评分维度之一(权重15%)
基础信息	公司名称	文本	用户填写	线索所属公司	必填	Input	Input	是(180px)	是(Input)	是	文本, 上限100字符	-
基础信息	联系人	文本	用户填写	联系人姓名	选填	Input	Input	是(100px)	否	是	文本, 上限50字符	-
基础信息	手机号	文本	用户填写	联系人手机号	条件必填	Input	Input	是(140px)	是(Input)	是	11位数字, 唯一校验	与邮箱至少填一个；全局去重字段
基础信息	邮箱	文本	用户填写	联系人邮箱	条件必填	Input	Input	是(180px)	是(Input)	是	邮箱格式校验, 唯一校验	与手机号至少填一个；全局去重字段
基础信息	职位	文本	用户填写	联系人职位	选填	Input	Input	否	否	是	文本, 上限50字符	-
基础信息	所属行业	单选	用户填写	所在行业	选填	Select	Select	是(120px)	是(Select)	是	Select: MANUFACTURING=制造业, RETAIL=零售, HEALTHCARE=医疗, FINANCE=金融, IT=信息技术, OTHER=其他	AI评分维度之一(权重20%)
基础信息	所在地区	级联选择	用户填写	所在省市	选填	Cascader	Cascader	是(120px)	是(Cascader)	是	省-市, 级联选择	-
基础信息	线索备注	多行文本	用户填写	备注信息	选填	Textarea	Textarea	否	否	是	Textarea, 上限500字符	-
基础信息	AI评分	整数	系统计算	AI评分模型输出	不适用	不展示	不展示	是(100px)	是(Range)	是	0-100 整数；筛选时最小值≤最大值且均在0-100范围内，超限或最小值大于最大值时阻断并提示“最小评分不能大于最大评分”	创建时触发；查询区按边界校验后执行筛选
基础信息	线索状态	单选	系统生成	当前状态	不适用	不展示	只读	是(120px)	是(Select)	是	DRAFT=草稿, PENDING_ASSIGN=待分配, ASSIGNED=已分配, FOLLOWING=跟进中, CONVERTED=已转客户, ABANDONED=已作废	状态机驱动；状态变更必须通过动作按钮触发
分配与跟进	归属人	文本	系统生成	当前负责人	不适用	不展示	只读	是(100px)	是(Select)	是	被分配的销售姓名	分配/认领时写入；一期自动回收时清空；主动放弃时保留，供原负责人立即撤销放弃
分配与跟进	分配时间	日期时间	系统生成	最近一次分配时间	不适用	不展示	只读	是(160px)	否	是	YYYY-MM-DD HH:mm:ss	主动放弃时清空；原负责人撤销放弃或其他销售重新认领时重置为当前时间
分配与跟进	最近跟进时间	日期时间	系统生成	最近一次添加跟进记录的时间	不适用	不展示	只读	是(160px)	否	是	YYYY-MM-DD HH:mm:ss	当前列表回收仅针对已分配且无跟进记录的线索，以分配时间判断；放弃操作当前也会更新该字段
分配与跟进	放弃原因	多行文本	用户填写	放弃时填写的理由	条件必填	不展示	不展示	否	否	是	Textarea，至少15字	主动放弃或作废时必填；少于15字时阻断并提示“放弃原因至少15字”
分配与跟进	入池时间	日期时间	系统计算	进入当前公海池的时间	不适用	不展示	不展示	是(160px)	是(DateRange)	是	PENDING_ASSIGN 待分配池取进入池时间；主动放弃取 abandonAt	公海子视图专有展示列；线索主表列表不展示，公海列表展示
系统字段	创建人	文本	系统生成	线索录入人	不适用	不展示	只读	是(100px)	否	是	当前登录用户	-
系统字段	创建时间	日期时间	系统生成	录入时间	不适用	不展示	只读	是(160px)	是(DateRange)	是	YYYY-MM-DD HH:mm:ss	列表默认按此倒序；支持今天/本周/本月快捷筛选和自定义日期区间
系统字段	最后修改人	文本	系统生成	最近修改人	不适用	不展示	只读	否	否	是	当前登录用户	-
系统字段	最后修改时间	日期时间	系统生成	最近修改时间	不适用	不展示	只读	否	否	是	YYYY-MM-DD HH:mm:ss	-
系统字段	转化时间	日期时间	系统生成	线索转化为客户的时间	不适用	不展示	不展示	否	否	是	YYYY-MM-DD HH:mm:ss	仅在转客户操作时写入
系统字段	poolType	单选	系统生成	PENDING_ASSIGN 状态下的业务分组	不适用	不展示	只读	是(分组Tag)	是(Select)	是	ASSIGN_POOL=待分配池, NURTURE_POOL=培育池	AI评分≥50分默认 ASSIGN_POOL；AI评分<50分默认 NURTURE_POOL；评分失败按50分进入 ASSIGN_POOL；不构成独立状态
系统字段	voidType	单选	系统生成	ABANDONED 记录的动作来源	不适用	不展示	只读	否	否	是	DRAFT_VOID=作废草稿, MANAGER_VOID=管理作废, VOLUNTARY_ABANDON=销售主动放弃	用于区分恢复权限、公海可见性和是否允许销售认领；仅通过动作按钮写入
